ID;Nome do Estádio;Capacidade;ID do País;Estádio - País;Nome do País;EstadioPais
772;Stadion Ukraina                                             ;28051;154;154;St. Kitts & Nevis                                 ;
773;Stadium Municipal                                           ;33150;154;154;St. Kitts & Nevis                                 ;
775;Stamford Bridge                                             ;40853;154;154;St. Kitts & Nevis                                 ;
776;Swansea.com Stadium                                         ;21088;154;154;St. Kitts & Nevis                                 ;
777;Sydbank Park                                                ;10000;154;154;St. Kitts & Nevis                                 ;
778;Tannadice Park                                              ;14223;154;154;St. Kitts & Nevis                                 ;
779;The City Ground                                             ;30445;154;154;St. Kitts & Nevis                                 ;
780;The Energy Check Stadium at Firhill                         ;10102;154;154;St. Kitts & Nevis                                 ;
781;The Hawthorns                                               ;26850;154;154;St. Kitts & Nevis                                 ;
784;Tottenham Hotspur Stadium                                   ;62062;154;154;St. Kitts & Nevis                                 ;
785;Toumba Stadium                                              ;28703;154;154;St. Kitts & Nevis                                 ;
786;Trud                                                        ;10028;154;154;St. Kitts & Nevis                                 ;
789;Tüpras Stadyumu                                             ;42590;154;154;St. Kitts & Nevis                                 ;
790;Turf Moor                                                   ;21994;154;154;St. Kitts & Nevis                                 ;
791;Tynecastle Park                                             ;19852;154;154;St. Kitts & Nevis                                 ;
792;Ülker Stadyumu FB Sükrü Saraçoglu Spor Kompleksi            ;47834;154;154;St. Kitts & Nevis                                 ;
794;Unipol Domus                                                ;16416;154;154;St. Kitts & Nevis                                 ;
795;U-Power Stadium - Brianteo                                  ;16917;154;154;St. Kitts & Nevis                                 ;
796;Valeriy Lobanovsky Stadion                                  ;16873;154;154;St. Kitts & Nevis                                 ;
798;VEB Arena                                                   ;30114;154;154;St. Kitts & Nevis                                 ;
800;Veltins-Arena                                               ;62271;154;154;St. Kitts & Nevis                                 ;
801;Viborg Stadion                                              ;10000;154;154;St. Kitts & Nevis                                 ;
802;Vicarage Road                                               ;21577;154;154;St. Kitts & Nevis                                 ;
803;Villa Park                                                  ;42682;154;154;St. Kitts & Nevis                                 ;
804;Vitality Stadium                                            ;11329;154;154;St. Kitts & Nevis                                 ;
805;Voith-Arena                                                 ;15000;154;154;St. Kitts & Nevis                                 ;
806;Volgograd Arena                                             ;45568;154;154;St. Kitts & Nevis                                 ;
807;Volksparkstadion                                            ;57000;154;154;St. Kitts & Nevis                                 ;
