ID;Nome;Capacidade;EstadioID;total_jogos
837;ESTÁDIO MANUEL MARQUES                                      ;1087;;
838;NEW DUNDAS PARK                                             ;2213;;
839;STADIO LINO TURINA                                          ;0;;
840;"STADION ""DE GEUSSELT""                                       ";4770;;
841;TÅRNBY STADION                                              ;650;;
842;NETANYA STADIUM                                             ;9932;;
843;CITTÀ DI MEDA                                               ;450;;
844;HØJSLEV STADION                                             ;0;;
845;AL-NAHYAN STADIUM                                           ;9396;;
846;OPUS ARENA                                                  ;8444;;
847;THE EMG INSPIRE STADIUM                                     ;3016;;
848;DIMOTIKO STADIO KASSANDRIAS                                 ;0;;
849;GANY MURATBAYEV STADIUM                                     ;0;;
850;"OLYMPIAKÓ STÁDIO ATHINON ""SPYROS LOUIS""                     ";9959;;
851;VÁROSI STADION                                              ;4250;;
852;MOSS ROSE                                                   ;996;;
853;STATION PARK                                                ;811;;
854;SPORTPARK DE WESTMAAT                                       ;825;;
855;KUPOL                                                       ;800;;
856;SMH GROUP STADIUM                                           ;8377;;
857;NA CAPELLERA                                                ;2400;;
858;VIKTOR LOSEV STADION                                        ;2100;;
859;RAPID GIULE?TI                                              ;4461;;
860;LEON ARENA                                                  ;7907;;
861;LA PLANILLA                                                 ;4050;;
862;BROADHURST PARK                                             ;2916;;
863;LOCHBURN PARK                                               ;0;;
864;NFS - TEHELNÉ POLE                                          ;9980;;
865;STÄDTISCHES STADION AN DER GRÜNWALDER STRAßE                ;4158;;
866;SPAIN PARK                                                  ;870;;
867;GIPEDO SERRES                                               ;150;;
868;ESTÁDIO DR. MAGALHÃES PESSOA                                ;108;;
869;HVIDING STADION                                             ;0;;
870;FUMEA LOLO RODRÍGUEZ                                        ;0;;
871;KAPLAKRIKI                                                  ;970;;
872;MACKESSACK PARK                                             ;320;;
873;CENTRAL STADIUM AFTER NAMED I.P. CHAYKA                     ;800;;
874;HUVEPHARMA ARENA                                            ;9880;;
875;URSAPHARM-ARENA AN DER KAISERLINDE                          ;8561;;
876;EL MAZO                                                     ;700;;
877;SPORTPARK DE ABDIJHOF                                       ;800;;
878;SALYUT                                                      ;9000;;
879;VÍKINGSVÖLLUR                                               ;925;;
880;CENTUS ARENA                                                ;3027;;
881;GEMEENTELIJK SPORTPARK DE GROENENDIJKSE KAMPEN              ;600;;
882;QEMAL STAFA                                                 ;5000;;
883;HUISH PARK                                                  ;9264;;
884;BRITA-ARENA                                                 ;9496;;
885;TARCZYNSKI ARENA WROCLAW                                    ;41955;;
886;GORNYAK                                                     ;3500;;
887;CENTRAL STADIUM AKTOBE                                      ;9000;;
888;DAUGAVA                                                     ;778;;
889;EL PRADO                                                    ;4200;;
890;CHERENKOV ACADEMY STADIUM (FIELD ?4)                        ;300;;
891;THE MEADOWBANK GROUND                                       ;1247;;
892;MUNKE MOSE                                                  ;250;;
893;PRIORY LANE STADIUM                                         ;0;;
894;MUNICIPAL JOSÉ MARTINS VIEIRA                               ;737;;
895;TRANS-SIL                                                   ;6498;;
896;BOB LUCAS STADIUM                                           ;2934;;
897;CERRO DEL ESPINO                                            ;800;;
898;KARLSLUNDE STADION                                          ;0;;
899;SPORTPARK TER SPECKE                                        ;600;;
900;POSTSTADION                                                 ;1468;;
901;OMS ARENA                                                   ;3908;;
902;IMPACT ARENA                                                ;827;;
903;BRANDYWELL STADIUM                                          ;7000;;
904;GAZI-STADION AUF DER WALDAU                                 ;9760;;
905;FLYERALARM ARENA                                            ;9706;;
906;DOOSAN ARÉNA                                                ;9731;;
907;CAMPO SPORTIVO DI FONTE DELL'OVO                            ;0;;
908;EL COLLAO                                                   ;800;;
909;JAHNSTADION                                                 ;6249;;
910;ZHETYSU                                                     ;3476;;
911;MUNICIPAL JOSÉ SANTOS PINTO                                 ;800;;
912;SPORTPARK OUDE LANDEN                                       ;0;;
913;LOLLANDS BANK PARK                                          ;850;;
914;SLOKA                                                       ;648;;
915;TRAMMONDFORD PARK                                           ;0;;
916;LAS GAUNAS                                                  ;8010;;
917;MERKUR ARENA                                                ;9800;;
918;LAZUR                                                       ;6400;;
919;EROSI MANJGALADZE STADIUM                                   ;847;;
920;SHEERIEN PARK                                               ;1700;;
921;VIVAR TÉLLEZ                                                ;0;;
922;TA QALI                                                     ;998;;
923;DIMOTIKO GIPEDO KRANOULAS                                   ;250;;
924;CIUDAD DEPORTIVA DE BUÑOL                                   ;0;;
925;SPAREKASSEN THY ARENA                                       ;776;;
926;SPORTCOMPLEX MIDDELWEG                                      ;525;;
927;STADION CAIR                                                ;8500;;
928;DALUM KUNSTGRÆSBANE                                         ;0;;
929;KEEPMOAT STADIUM                                            ;7040;;
930;STADION AM BIEBERER BERG                                    ;8090;;
931;TORPEDO - EDUARD STRELTSOV STADION                          ;8000;;
932;DIMOTIKO STADIO KOMOTINIS                                   ;0;;
933;MEADOW LANE                                                 ;9802;;
934;ALASHKERT STADIUM                                           ;4948;;
935;MASHINOSTROITEL                                             ;3500;;
936;FRANCO OSSOLA                                               ;1604;;
937;IMBER COURT                                                 ;1485;;
938;AABENRAA STADION                                            ;3677;;
939;THE AVENUE STADIUM                                          ;3196;;
940;PRESTONFIELD                                                ;645;;
941;SARPSBORG STADION                                           ;8022;;
942;RØDOVRE STADION                                             ;0;;
943;GILLESTED PARK                                              ;0;;
